,Car_ID,Year,Selling_Price,Present_Price,Miles_Driven,Fuel_Type,Seller_Type,Transmission,Owner
0,0,2014,4786,7986,16770.0,Petrol,Dealer,Manual,0
1,1,2013,6786,13629,26708.0,Diesel,Dealer,Manual,0
2,2,2017,10357,14071,4286.0,Petrol,Dealer,Manual,0
3,3,2011,4071,5929,3230.0,Petrol,Dealer,Manual,0
4,4,2014,6571,9814,26366.0,Diesel,Dealer,Manual,0
5,5,2018,13214,14043,1286.0,Diesel,Dealer,Manual,0
6,2,2015,9643,11600,11675.0,Petrol,Dealer,Manual,0
7,6,2015,9286,12300,20763.0,Diesel,Dealer,Manual,0
8,2,2016,12500,12700,12592.0,Diesel,Dealer,Manual,0
9,2,2015,10643,12743,26315.0,Diesel,Dealer,Manual,0
10,7,2017,4071,5143,1326.0,Petrol,Dealer,Manual,0
11,2,2015,9786,14829,31677.0,Diesel,Dealer,Manual,0
12,2,2015,10714,14200,9317.0,Petrol,Dealer,Automatic,0
13,8,2015,8714,11014,16149.0,Petrol,Dealer,Manual,0
14,9,2009,3214,10300,48091.0,Petrol,Dealer,Manual,0
15,8,2016,11071,15414,26708.0,Diesel,Dealer,Manual,0
16,8,2015,10357,15414,25887.0,Diesel,Dealer,Manual,0
17,8,2016,11071,15414,26708.0,Diesel,Dealer,Manual,0
18,3,2015,4643,7271,22050.0,CNG,Dealer,Manual,0
19,1,2010,3786,11400,25740.0,Petrol,Dealer,Manual,0
20,10,2016,4071,5643,15528.0,Petrol,Dealer,Manual,0
21,11,2017,7000,8157,1491.0,Petrol,Dealer,Manual,0
22,1,2011,6286,11443,31056.0,Petrol,Dealer,Automatic,0
23,10,2014,3571,4943,28124.0,Petrol,Dealer,Manual,0
24,3,2013,4143,6300,35329.0,Petrol,Dealer,Manual,0
25,4,2011,4286,7129,12422.0,Petrol,Dealer,Manual,0
26,4,2013,5929,8386,34247.0,Petrol,Dealer,Manual,0
27,4,2017,8571,9271,10062.0,Petrol,Individual,Manual,0
28,10,2010,2786,5643,27666.0,Petrol,Dealer,Manual,0
29,2,2015,10643,14829,27950.0,Diesel,Dealer,Manual,0
30,0,2012,4429,8543,31950.0,Diesel,Dealer,Manual,0
31,0,2011,3357,6986,33665.0,Petrol,Dealer,Manual,0
32,4,2014,7071,10700,24224.0,Diesel,Dealer,Manual,0
33,8,2014,8571,14214,27950.0,Diesel,Dealer,Manual,0
34,9,2014,7857,11514,27950.0,Diesel,Dealer,Manual,0
35,1,2011,4214,11057,31055.0,CNG,Dealer,Manual,0
36,9,2015,6643,10286,30290.0,Petrol,Dealer,Manual,0
37,12,2003,500,3257,78882.0,Petrol,Individual,Manual,0
38,10,2016,4286,5371,6260.0,Petrol,Dealer,Manual,0
39,1,2003,3214,11400,38509.0,Petrol,Dealer,Manual,0
40,13,2016,8357,11243,15232.0,Petrol,Dealer,Automatic,0
41,10,2014,3643,5686,29010.0,Petrol,Dealer,Manual,0
42,1,2008,2786,10214,36025.0,Petrol,Dealer,Manual,0
43,9,2014,7857,11514,28435.0,Diesel,Dealer,Manual,0
44,14,2012,1786,3843,31056.0,Petrol,Dealer,Manual,0
45,2,2014,10714,17200,9317.0,Petrol,Dealer,Automatic,0
46,0,2013,3786,6986,40082.0,Petrol,Dealer,Manual,0
47,3,2006,1500,5929,40373.0,Petrol,Dealer,Manual,0
48,8,2015,8286,11014,16068.0,Petrol,Dealer,Manual,0
49,2,2017,11071,13271,22981.0,Petrol,Dealer,Automatic,0
50,15,2012,21286,43729,65035.0,Diesel,Dealer,Automatic,0
51,15,2015,32857,43729,24845.0,Diesel,Dealer,Automatic,0
52,16,2017,25714,28243,9317.0,Diesel,Dealer,Automatic,0
53,15,2013,22857,43729,83851.0,Diesel,Individual,Automatic,0
54,16,2005,3929,14586,55901.0,Petrol,Individual,Manual,0
55,17,2009,5143,21486,43478.0,Petrol,Dealer,Automatic,0
56,18,2015,6429,10386,25176.0,Petrol,Dealer,Manual,0
57,17,2010,6786,26486,31056.0,Petrol,Dealer,Manual,0
58,19,2014,5857,9714,24525.0,Petrol,Dealer,Manual,1
59,15,2014,28557,51371,25466.0,Diesel,Dealer,Automatic,0
60,17,2013,9929,26586,24845.0,Petrol,Dealer,Manual,0
61,18,2015,6429,11000,25210.0,Petrol,Dealer,Manual,0
62,15,2014,26786,51371,48447.0,Diesel,Dealer,Automatic,0
63,15,2015,33571,51371,29193.0,Diesel,Dealer,Automatic,0
64,15,2017,47143,51757,3727.0,Diesel,Dealer,Automatic,0
65,20,2014,6786,9929,27950.0,Diesel,Dealer,Manual,0
66,16,2017,28214,33071,6832.0,Petrol,Dealer,Automatic,0
67,15,2010,13214,29214,36646.0,Diesel,Dealer,Manual,0
68,17,2011,6214,19629,54658.0,Petrol,Dealer,Manual,0
69,17,2016,20357,29871,7453.0,Petrol,Dealer,Manual,0
70,20,2014,5643,9657,44099.0,Diesel,Dealer,Manual,0
71,17,2011,6429,17829,27950.0,Diesel,Dealer,Manual,0
72,17,2013,10643,26586,34783.0,Petrol,Dealer,Manual,0
73,20,2011,3786,8157,26708.0,Petrol,Dealer,Manual,0
74,18,2014,7000,12757,51553.0,Diesel,Dealer,Manual,0
75,19,2015,5643,9714,22360.0,Petrol,Dealer,Manual,0
76,17,2013,7857,20971,44720.0,Petrol,Dealer,Manual,0
77,21,2004,2143,17643,83947.0,Petrol,Dealer,Automatic,0
78,17,2010,7500,32614,49689.0,Petrol,Dealer,Automatic,0
79,15,2012,20714,43729,55280.0,Diesel,Dealer,Automatic,0
80,17,2016,21043,21271,14286.0,Diesel,Dealer,Manual,0
81,22,2015,6786,11214,24845.0,Diesel,Dealer,Manual,0
82,16,2017,32857,36271,9317.0,Diesel,Dealer,Automatic,0
83,16,2015,17857,19229,23602.0,Diesel,Dealer,Manual,0
84,16,2005,4986,19229,122470.0,Diesel,Dealer,Manual,0
85,23,2006,3571,33900,88199.0,Petrol,Individual,Automatic,3
86,24,2010,50000,132286,48447.0,Diesel,Dealer,Manual,0
87,17,2012,8429,19629,34783.0,Petrol,Dealer,Manual,0
88,20,2013,4929,8643,29193.0,Petrol,Dealer,Manual,0
89,19,2014,6786,9657,24845.0,Petrol,Dealer,Manual,0
90,17,2009,5429,26586,38509.0,Petrol,Dealer,Manual,0
91,16,2014,16071,22986,36175.0,Diesel,Dealer,Manual,0
92,16,2005,5014,19571,46584.0,Petrol,Dealer,Manual,0
93,15,2015,32857,43729,24845.0,Diesel,Dealer,Automatic,0
94,17,2008,5714,32543,55280.0,Petrol,Dealer,Automatic,0
95,17,2012,8357,26586,44720.0,Petrol,Dealer,Manual,0
96,16,2016,29643,36271,18012.0,Diesel,Dealer,Automatic,0
97,17,2017,24286,26629,5404.0,Petrol,Dealer,Manual,0
98,17,2013,10071,26586,27950.0,Petrol,Dealer,Manual,0
99,15,2010,13786,29214,31071.0,Diesel,Dealer,Manual,0
100,25,2016,2500,2714,1863.0,Petrol,Individual,Manual,0
101,26,2017,2429,2600,870.0,Petrol,Individual,Manual,0
102,27,2017,2357,2543,2484.0,Petrol,Individual,Manual,0
103,28,2017,2071,2286,745.0,Petrol,Individual,Manual,0
104,29,2017,1929,2100,2547.0,Petrol,Individual,Manual,0
105,30,2015,1929,3386,13478.0,Petrol,Individual,Manual,0
106,31,2014,1929,4929,10248.0,Petrol,Individual,Manual,1
107,32,2013,1786,2143,9317.0,Petrol,Individual,Manual,0
108,32,2016,1714,2143,11180.0,Petrol,Individual,Manual,0
109,29,2017,1714,2100,6832.0,Petrol,Individual,Manual,0
110,27,2016,1714,2543,3727.0,Petrol,Individual,Manual,0
111,32,2016,1643,2143,5404.0,Petrol,Individual,Manual,0
112,33,2014,1643,3429,4348.0,Petrol,Individual,Manual,0
113,34,2016,1643,2000,21739.0,Petrol,Individual,Manual,0
114,29,2015,1643,2100,10559.0,Petrol,Individual,Manual,0
115,29,2015,1586,2100,10870.0,Petrol,Individual,Manual,0
116,29,2013,1571,2100,20497.0,Petrol,Individual,Manual,0
117,25,2015,1571,2714,8696.0,Petrol,Individual,Manual,0
118,29,2015,1571,2100,16149.0,Petrol,Individual,Manual,0
119,25,2013,1500,2714,3354.0,Petrol,Individual,Manual,0
120,35,2016,1500,1800,3540.0,Petrol,Individual,Manual,0
121,32,2011,1500,2143,4286.0,Petrol,Individual,Manual,0
122,36,2016,1500,1671,3727.0,Petrol,Individual,Manual,0
123,29,2013,1429,2100,28882.0,Petrol,Individual,Manual,0
124,37,2012,1357,2500,7143.0,Petrol,Individual,Manual,0
125,37,2009,1286,2500,24845.0,Petrol,Individual,Manual,0
126,38,2017,1286,1357,807.0,Petrol,Individual,Manual,0
127,39,2016,1071,1143,4348.0,Petrol,Individual,Manual,0
128,40,2017,1143,1243,1863.0,Petrol,Individual,Manual,0
129,41,2017,1114,1200,3106.0,Petrol,Individual,Manual,0
130,40,2017,1071,1243,6832.0,Petrol,Individual,Manual,0
131,42,2015,1071,1171,11180.0,Petrol,Individual,Manual,0
132,38,2017,1071,1357,2174.0,Petrol,Individual,Manual,0
133,38,2016,1029,1357,311.0,Petrol,Individual,Manual,0
134,43,2017,929,1157,7329.0,Petrol,Individual,Manual,0
135,44,2015,929,1057,3106.0,Petrol,Individual,Manual,0
136,45,2014,929,1714,14596.0,Petrol,Individual,Manual,0
137,46,2013,929,1124,9938.0,Petrol,Individual,Manual,0
138,40,2016,857,1243,9317.0,Petrol,Individual,Manual,0
139,47,2015,857,1357,10311.0,Petrol,Individual,Manual,0
140,45,2013,857,1714,19876.0,Petrol,Individual,Manual,0
141,48,2016,857,1143,12422.0,Petrol,Individual,Manual,0
142,49,2015,857,1200,18012.0,Petrol,Individual,Manual,0
143,49,2016,857,1200,15528.0,Petrol,Individual,Manual,0
144,50,2014,857,1414,15528.0,Petrol,Individual,Manual,0
145,43,2012,857,1157,11801.0,Petrol,Individual,Manual,0
146,46,2014,786,1124,9317.0,Petrol,Individual,Manual,0
147,41,2015,786,1200,36025.0,Petrol,Individual,Manual,0
148,51,2010,743,1343,27950.0,Petrol,Individual,Manual,0
149,51,2016,729,1343,14907.0,Petrol,Individual,Manual,0
150,52,2011,714,1180,3727.0,Petrol,Individual,Manual,0
151,53,2016,714,786,19255.0,Petrol,Individual,Manual,0
152,54,2012,714,1414,8075.0,Petrol,Individual,Manual,0
153,54,2013,714,1414,27950.0,Petrol,Individual,Manual,0
154,55,2014,714,1257,4969.0,Petrol,Individual,Manual,0
155,56,2017,686,729,2671.0,Petrol,Individual,Automatic,0
156,57,2017,686,743,9317.0,Petrol,Individual,Manual,0
157,41,2015,686,1200,14286.0,Petrol,Individual,Manual,0
158,58,2017,686,771,5342.0,Petrol,Individual,Manual,0
159,56,2017,643,729,2484.0,Petrol,Individual,Automatic,0
160,59,2011,643,1357,14907.0,Petrol,Individual,Manual,0
161,52,2014,643,1180,14286.0,Petrol,Individual,Manual,0
162,54,2012,643,1414,9006.0,Petrol,Individual,Manual,0
163,47,2010,643,1357,16770.0,Petrol,Individual,Manual,0
164,60,2016,643,771,8696.0,Petrol,Individual,Manual,0
165,61,2016,643,771,311.0,Petrol,Individual,Automatic,0
166,62,2016,643,786,621.0,Petrol,Individual,Manual,0
167,43,2014,600,1157,26087.0,Petrol,Individual,Manual,0
168,63,2013,600,1043,7453.0,Petrol,Individual,Manual,0
169,60,2015,571,771,8696.0,Petrol,Individual,Manual,0
170,64,2012,571,1186,3416.0,Petrol,Individual,Manual,0
171,62,2015,571,786,4161.0,Petrol,Individual,Manual,0
172,65,2014,571,914,8509.0,Petrol,Individual,Manual,0
173,66,2017,571,729,807.0,Petrol,Individual,Automatic,0
174,67,2015,543,1029,23975.0,Petrol,Individual,Manual,0
175,68,2011,543,1124,46584.0,Petrol,Individual,Manual,0
176,69,2011,500,1500,18634.0,Petrol,Individual,Manual,0
177,70,2016,500,814,14907.0,Petrol,Individual,Automatic,0
178,71,2014,500,743,11801.0,Petrol,Individual,Automatic,0
179,69,2010,443,1500,132298.0,Petrol,Individual,Manual,0
180,72,2012,429,729,37267.0,Petrol,Individual,Manual,0
181,73,2016,429,686,31056.0,Petrol,Individual,Manual,0
182,74,2013,429,829,18634.0,Petrol,Individual,Manual,0
183,75,2013,386,671,13043.0,Petrol,Individual,Manual,0
184,44,2008,357,1071,16149.0,Petrol,Individual,Manual,1
185,76,2008,357,829,1180.0,Petrol,Individual,Automatic,0
186,77,2010,357,743,13665.0,Petrol,Individual,Automatic,0
187,78,2013,357,729,19876.0,Petrol,Individual,Manual,0
188,79,2013,357,814,11180.0,Petrol,Individual,Manual,0
189,80,2005,286,814,34161.0,Petrol,Individual,Manual,0
190,44,2008,286,1071,37267.0,Petrol,Individual,Manual,0
191,81,2012,286,814,15528.0,Petrol,Individual,Manual,1
192,82,2007,286,1071,30435.0,Petrol,Individual,Manual,1
193,83,2013,286,929,14907.0,Petrol,Individual,Manual,1
194,84,2008,286,1124,31056.0,Petrol,Individual,Manual,0
195,85,2015,257,457,21739.0,Petrol,Individual,Manual,0
196,61,2008,243,743,310559.0,Petrol,Individual,Automatic,0
197,78,2010,229,729,20497.0,Petrol,Individual,Manual,0
198,81,2011,214,814,21739.0,Petrol,Individual,Manual,1
199,74,2007,171,829,32919.0,Petrol,Individual,Manual,0
200,44,2006,143,1071,57288.0,Petrol,Individual,Manual,0
201,86,2010,4643,9700,36025.0,Diesel,Dealer,Manual,1
202,87,2015,6286,8143,17516.0,Petrol,Dealer,Manual,0
203,88,2011,4214,6571,33205.0,Petrol,Dealer,Manual,0
204,89,2015,3929,6329,17566.0,Petrol,Dealer,Manual,0
205,87,2016,7500,8143,2170.0,Petrol,Dealer,Manual,1
206,90,2017,8214,10186,7751.0,Petrol,Dealer,Manual,0
207,87,2015,7357,8143,21613.0,Petrol,Dealer,Automatic,0
208,86,2017,11286,11571,2134.0,Petrol,Dealer,Manual,0
209,87,2015,6929,8143,13121.0,Diesel,Dealer,Manual,0
210,88,2012,4429,6571,22220.0,Petrol,Dealer,Manual,0
211,91,2015,16786,21129,27040.0,Diesel,Dealer,Manual,0
212,92,2016,16071,19429,14081.0,Petrol,Dealer,Manual,0
213,86,2011,4143,9700,19630.0,Petrol,Dealer,Manual,0
214,87,2017,7500,8143,12493.0,Petrol,Dealer,Manual,0
215,93,2012,6429,13429,22422.0,Petrol,Dealer,Manual,0
216,89,2016,4143,6329,7764.0,Petrol,Dealer,Manual,0
217,89,2016,4500,6329,9317.0,Petrol,Dealer,Manual,0
218,93,2014,9214,13429,27999.0,Petrol,Dealer,Manual,0
219,93,2012,6429,13429,22360.0,Petrol,Dealer,Manual,0
220,89,2017,5000,6329,23906.0,Petrol,Dealer,Manual,0
221,86,2013,6429,9700,19876.0,Petrol,Dealer,Automatic,0
222,86,2014,8571,10857,48219.0,Diesel,Dealer,Manual,0
223,93,2015,11786,13429,38125.0,Diesel,Dealer,Manual,0
224,93,2013,7300,13429,22483.0,Petrol,Dealer,Automatic,0
225,88,2011,3857,6571,13986.0,Petrol,Dealer,Manual,0
226,87,2015,7500,8143,15328.0,Petrol,Dealer,Manual,0
227,88,2011,3643,6329,35404.0,Petrol,Dealer,Manual,0
228,93,2012,7071,13429,37267.0,Diesel,Dealer,Manual,0
229,86,2012,4429,9700,32380.0,Diesel,Dealer,Manual,0
230,93,2013,8786,13429,27950.0,Diesel,Dealer,Manual,0
231,93,2017,13214,13429,9317.0,Petrol,Dealer,Manual,0
232,91,2015,16357,21129,8012.0,Petrol,Dealer,Automatic,0
233,87,2013,5571,8143,32919.0,Diesel,Dealer,Manual,0
234,87,2015,7857,8143,2790.0,Petrol,Dealer,Manual,0
235,93,2017,13000,13429,9404.0,Petrol,Dealer,Manual,0
236,89,2016,4429,6329,7360.0,Petrol,Dealer,Manual,0
237,92,2015,16071,19429,42236.0,Diesel,Dealer,Manual,0
238,93,2013,6857,13429,37417.0,Petrol,Dealer,Manual,0
239,89,2012,2857,6329,14726.0,Petrol,Dealer,Manual,0
240,93,2012,7643,13429,20076.0,Diesel,Dealer,Manual,0
241,90,2015,6786,10186,22277.0,Petrol,Dealer,Manual,1
242,90,2014,6286,10186,21118.0,Petrol,Dealer,Manual,0
243,86,2016,8929,10857,4348.0,Petrol,Dealer,Manual,0
244,93,2013,8500,13429,30435.0,Diesel,Dealer,Manual,0
245,93,2012,7429,13429,44099.0,Diesel,Dealer,Manual,0
246,86,2012,5357,9700,21739.0,Petrol,Dealer,Manual,0
247,93,2015,8500,13429,22360.0,Petrol,Dealer,Manual,0
248,88,2013,5714,6571,18634.0,Petrol,Dealer,Manual,0
249,86,2016,7500,10857,10559.0,Petrol,Dealer,Manual,0
250,92,2016,18429,19429,22319.0,Diesel,Dealer,Manual,0
251,94,2013,7143,14143,35218.0,Petrol,Dealer,Manual,0
252,95,2015,7714,9743,19520.0,Petrol,Dealer,Automatic,0
253,94,2014,10286,14143,29814.0,Diesel,Dealer,Manual,0
254,94,2013,7500,14143,33691.0,Petrol,Dealer,Manual,0
255,95,2012,4286,7643,33339.0,Petrol,Dealer,Manual,0
256,94,2016,14643,19429,30784.0,Petrol,Dealer,Manual,0
257,94,2015,12143,19429,25046.0,Petrol,Dealer,Manual,0
258,94,2015,12000,19429,15528.0,Petrol,Dealer,Manual,0
259,96,2014,5571,10000,22394.0,Petrol,Dealer,Manual,0
260,94,2016,13071,19429,18151.0,Petrol,Dealer,Manual,0
261,95,2016,7857,8529,3478.0,Petrol,Dealer,Manual,0
262,96,2015,5714,8286,24859.0,Petrol,Dealer,Manual,0
263,97,2016,9429,11000,9939.0,Petrol,Dealer,Manual,0
264,96,2015,5714,10000,24861.0,Petrol,Dealer,Manual,0
265,97,2017,9286,12429,13168.0,Petrol,Dealer,Manual,0
266,96,2014,5214,10000,21739.0,Petrol,Dealer,Manual,0
267,94,2016,11929,13429,12071.0,Diesel,Dealer,Manual,0
268,95,2017,6857,8286,11801.0,Petrol,Dealer,Manual,0
269,94,2015,9571,14286,11694.0,Petrol,Dealer,Manual,0
270,94,2011,5857,14286,43069.0,Petrol,Dealer,Manual,0
271,94,2009,4286,14286,43206.0,Petrol,Dealer,Manual,0
272,94,2015,10714,14286,17143.0,Petrol,Dealer,Manual,0
273,97,2010,3214,10714,38014.0,Petrol,Dealer,Manual,0
274,95,2014,7571,9714,10248.0,Petrol,Dealer,Manual,0
275,94,2016,15571,19429,19101.0,Petrol,Dealer,Automatic,0
276,94,2015,12357,19429,15404.0,Petrol,Dealer,Manual,0
277,94,2015,13857,19429,13528.0,Petrol,Dealer,Manual,0
278,97,2016,8571,12000,2484.0,Petrol,Dealer,Manual,0
279,94,2014,8929,19429,24923.0,Petrol,Dealer,Manual,0
280,95,2015,7500,8429,8984.0,Petrol,Dealer,Manual,0
281,94,2006,3000,10857,31339.0,Petrol,Dealer,Manual,0
282,94,2014,11786,20000,39130.0,Diesel,Dealer,Manual,0
283,94,2016,12843,16857,5596.0,Petrol,Dealer,Manual,0
284,95,2013,5000,8429,6087.0,Petrol,Dealer,Manual,0
285,97,2016,10571,12143,9353.0,Petrol,Dealer,Automatic,0
286,97,2016,8071,11286,17745.0,Petrol,Dealer,Manual,0
287,96,2015,8214,10714,27329.0,Petrol,Dealer,Automatic,0
288,94,2015,12000,19429,21118.0,Petrol,Dealer,Manual,0
289,94,2016,14443,19429,6820.0,Petrol,Dealer,Manual,0
290,96,2014,6429,9143,11801.0,Petrol,Dealer,Manual,0
291,95,2015,7714,8714,19520.0,Petrol,Dealer,Manual,0
292,97,2016,9143,12000,7453.0,Petrol,Dealer,Manual,0
293,94,2010,4643,14143,23602.0,Petrol,Dealer,Manual,0
294,96,2014,5357,9714,20509.0,Petrol,Dealer,Manual,0
295,94,2015,12214,18700,37314.0,Diesel,Dealer,Manual,0
296,94,2016,13571,16571,21111.0,Diesel,Dealer,Manual,0
297,95,2015,5714,8429,37267.0,Petrol,Dealer,Manual,0
298,94,2009,4786,15714,54617.0,Petrol,Dealer,Manual,0
299,94,2017,16429,17857,5590.0,Diesel,Dealer,Manual,0
300,95,2016,7571,8429,3394.0,Petrol,Dealer,Manual,0
